fecha,h0,hf,pluvio,observador,fechahora,duracion,conico
2017-12-27,10,11,3.1,IVAN,2017-12-27 10:00:00,1,
2017-12-28,0,4,8.8,IVAN,2017-12-28 00:00:00,4,
2017-12-29,19,20,0.6,IVAN,2017-12-29 19:00:00,1,
2018-01-02,14,14,3.0,NATALIO,2018-01-02 14:00:00,0,
2018-01-03,4,5,4.4,NATALIO,2018-01-03 04:00:00,1,
2018-01-05,15,17,19.6,NATALIO,2018-01-05 15:00:00,2,
2018-01-09,11,13,18.0,EDWIN,2018-01-09 11:00:00,2,
2018-01-12,9,17,33.0,IVAN,2018-01-12 09:00:00,8,
2018-01-19,14,14,5.0,DIEGO,2018-01-19 14:00:00,0,
2018-01-20,16,17,5.5,NATALIO,2018-01-20 16:00:00,1,
2018-01-25,1,10,20.3,IVAN,2018-01-25 01:00:00,9,
2018-01-28,5,11,3.8,EDWIN,2018-01-28 05:00:00,6,
2018-01-28,20,23,6.2,EDWIN,2018-01-28 20:00:00,3,
2018-01-29,20,21,4.4,EDWIN,2018-01-29 20:00:00,1,
2018-01-30,15,16,4.0,NATALIO,2018-01-30 15:00:00,1,
2018-01-31,13,14,4.0,NATALIO,2018-01-31 13:00:00,1,
2018-02-01,19,21,3.0,NATALIO,2018-02-01 19:00:00,2,
2018-02-02,6,15,20.4,NATALIO,2018-02-02 06:00:00,9,
2018-02-03,19,21,8.2,DIEGO,2018-02-03 19:00:00,2,
2018-02-06,3,4,3.6,EDWIN,2018-02-06 03:00:00,1,
2018-02-07,3,9,8.6,EDWIN,2018-02-07 03:00:00,6,
2018-02-08,3,10,31.0,EDWIN,2018-02-08 03:00:00,7,
2018-02-09,2,3,2.0,EDWIN,2018-02-09 02:00:00,1,
2018-02-11,0,3,14.6,IVAN,2018-02-11 00:00:00,3,
2018-02-14,2,18,18.4,DIEGO,2018-02-14 02:00:00,16,
2018-02-16,15,15,5.0,NATALIO,2018-02-16 15:00:00,0,
2018-02-27,12,14,7.0,NATALIO,2018-02-27 12:00:00,2,
2018-03-05,8,11,2.2,DIEGO,2018-03-05 08:00:00,3,
2018-03-06,2,5,6.0,EDWIN,2018-03-06 02:00:00,3,
2018-03-06,16,18,3.8,EDWIN,2018-03-06 16:00:00,2,
2018-03-07,4,5,1.2,EDWIN,2018-03-07 04:00:00,1,
2018-03-08,3,5,8.4,EDWIN,2018-03-08 03:00:00,2,
2018-03-12,12,15,3.0,IVAN,2018-03-12 12:00:00,3,
2018-03-13,3,6,8.8,DIEGO,2018-03-13 03:00:00,3,
2018-03-14,3,11,10.6,DIEGO,2018-03-14 03:00:00,8,
2018-03-14,13,15,4.8,DIEGO,2018-03-14 13:00:00,2,
2018-03-15,1,4,1.6,DIEGO,2018-03-15 01:00:00,3,
2018-03-15,12,13,8.0,DIEGO,2018-03-15 12:00:00,1,
2018-03-16,18,20,3.0,NATALIO,2018-03-16 18:00:00,2,
2018-03-20,3,6,5.2,IVAN,2018-03-20 03:00:00,3,
2018-03-30,11,13,2.2,DIEGO,2018-03-30 11:00:00,2,
2018-03-31,1,3,1.0,DIEGO,2018-03-31 01:00:00,2,
2018-04-13,4,6,3.0,NATALIO,2018-04-13 04:00:00,2,
2018-04-26,13,15,14.6,NATALIO,2018-04-26 13:00:00,2,
2018-05-03,16,18,3.8,EDWIN,2018-05-03 16:00:00,2,
2018-05-07,1,3,4.8,IVAN,2018-05-07 01:00:00,2,
2018-06-03,2,8,11.6,IVAN,2018-06-03 02:00:00,6,
2018-06-06,0,4,2.0,DIEGO,2018-06-06 00:00:00,4,
2018-06-07,8,10,2.2,DIEGO,2018-06-07 08:00:00,2,
2018-06-08,19,21,1.3,NATALIO,2018-06-08 19:00:00,2,
2018-06-09,19,23,3.2,NATALIO,2018-06-09 19:00:00,4,
2018-06-10,17,23,11.0,NATALIO,2018-06-10 17:00:00,6,
2018-06-11,20,23,6.0,NATALIO,2018-06-11 20:00:00,3,
2018-07-14,19,20,3.2,EDWIN,2018-07-14 19:00:00,1,
2018-07-20,12,16,1.2,DIEGO,2018-07-20 12:00:00,4,
2018-07-21,9,12,2.2,DIEGO,2018-07-21 09:00:00,3,
2018-07-21,14,21,1.8,DIEGO,2018-07-21 14:00:00,7,
2018-07-23,16,17,2.0,DIEGO,2018-07-23 16:00:00,1,
2018-08-03,4,5,1.3,EDWIN,2018-08-03 04:00:00,1,
2018-08-04,21,21,3.2,EDWIN,2018-08-04 21:00:00,0,
2018-08-08,14,16,1.0,IVAN,2018-08-08 14:00:00,2,
2018-08-20,20,21,5.4,TITO,2018-08-20 20:00:00,1,
2018-08-28,3,4,0.8,DIEGO,2018-08-28 03:00:00,1,
2018-08-28,13,15,3.0,DIEGO,2018-08-28 13:00:00,2,
2018-09-16,0,5,4.0,DIEGO,2018-09-16 00:00:00,5,
2018-09-23,14,15,4.3,TITO,2018-09-23 14:00:00,1,
2018-09-24,12,13,7.2,TITO,2018-09-24 12:00:00,1,
2018-09-24,20,20,3.0,TITO,2018-09-24 20:00:00,0,
2018-10-03,8,9,3.0,DIEGO,2018-10-03 08:00:00,1,
2018-10-05,12,14,4.2,NATALIO,2018-10-05 12:00:00,2,
2018-10-06,20,22,10.8,NATALIO,2018-10-06 20:00:00,2,
2018-10-07,8,9,2.0,NATALIO,2018-10-07 08:00:00,1,
2018-10-11,6,11,4.2,TITO,2018-10-11 06:00:00,5,
2018-10-11,14,15,2.8,TITO,2018-10-11 14:00:00,1,
2018-10-13,4,4,3.0,EDWIN,2018-10-13 04:00:00,0,
2018-10-14,12,13,5.0,EDWIN,2018-10-14 12:00:00,1,
2018-10-14,16,17,1.2,EDWIN,2018-10-14 16:00:00,1,
2018-10-15,10,20,10.2,EDWIN,2018-10-15 10:00:00,10,
2018-10-17,16,19,8.2,IVAN,2018-10-17 16:00:00,3,
